"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"637",637,"ENSMUSG00000021675",1,0,0,1,2,1,0.002460289,0,0,0.002415393,0.004920577,0.002890033,0.689694693,-1.909708075,1.98148996,-0.963773783,0.335159353,NA,"F2rl2",14064,"H3K4me3_H3K27ac_RNA"
"15154",15154,"ENSMUSG00000021666",919,885,902,941,868,871,0.337210016,0.330884618,0.328529582,0.338981732,0.318496511,0.375422162,915.8459165,-0.011678467,0.076000298,-0.153663431,0.87787512,0.969176844,"Gfm2",320806,"H3K4me3_H3K27ac_RNA"
"23818",23818,"ENSMUSG00000048603",17,23,18,20,15,16,0.026465837,0.036484878,0.027815841,0.030568098,0.023352209,0.029259944,19.67930381,0.162983954,0.384538525,0.42384298,0.671680331,0.90724963,"Gm9828",105246056,"H3K4me3_H3K27ac_RNA"
"12552",12552,"ENSMUSG00000041431",4178,4378,4501,4581,4758,3938,3.013271625,3.217317763,3.22226941,3.243634084,3.431581233,3.336278953,4224.497362,-0.044997561,0.048575919,-0.926334735,0.35427205,0.746399256,"Ccnb1",268697,"H3K4me3_H3K27ac_RNA"
"21059",21059,"ENSMUSG00000021711",1192,1249,1351,1199,1257,1078,0.698014228,0.745244554,0.785283293,0.689301018,0.736077084,0.74152121,1163.236025,0.079129988,0.065618851,1.205903285,0.227854784,0.640157232,"Trappc13",66975,"H3K4me3_H3K27ac_RNA"
"13204",13204,"ENSMUSG00000071180",862,794,965,904,939,796,2.865099146,2.689064659,3.183777373,2.94986769,3.121030276,3.107865782,821.5698064,-0.032562338,0.082861865,-0.392971331,0.694340656,0.917609411,"Smim15",75616,"H3K4me3_H3K27ac_RNA"
"22675",22675,"ENSMUSG00000042275",511,508,581,539,498,413,1.965958243,1.991431876,2.218771152,2.035841071,1.91594365,1.866466667,522.5981811,0.121567315,0.088313286,1.376546168,0.168652604,0.567379245,"Pelo",105083,"H3K4me3_H3K27ac_RNA"
"13455",13455,"ENSMUSG00000053453",666,632,593,613,650,630,4.642873995,4.489294534,4.103461383,4.195414355,4.531333479,5.159053307,607.0069271,-0.027567527,0.086683802,-0.318023973,0.750466752,0.934863828,"Thoc7",66231,"H3K4me3_H3K27ac_RNA"
"10305",10305,"ENSMUSG00000021785",622,549,601,627,629,615,0.531779094,0.478257262,0.51003307,0.526271841,0.537763746,0.617636266,596.6348084,-0.104457624,0.082983125,-1.258781507,0.208109262,0.616457655,"Ngly1",59007,"H3K4me3_H3K27ac_RNA"
"9833",9833,"ENSMUSG00000045107",54,59,54,67,73,40,0.144901779,0.161317069,0.143832393,0.176504783,0.195885739,0.126083062,57.55196127,-0.121021964,0.228996989,-0.528487139,0.597161271,0.879287935,"Saysd1",67509,"H3K4me3_H3K27ac_RNA"
"18354",18354,"ENSMUSG00000021771",5506,5760,5283,5522,5761,4811,4.865484672,5.186337061,4.633973026,4.790579163,5.090820413,4.993925465,5297.206446,0.019539562,0.056957977,0.343052252,0.731559151,0.929843337,"Vdac2",22334,"H3K4me3_H3K27ac_RNA"
"19612",19612,"ENSMUSG00000025290",19510,19894,21069,21802,19415,16576,142.9721194,148.5472282,153.2572392,156.8527503,142.2759456,142.6890418,19175.26961,0.045973421,0.058468586,0.786292689,0.431696035,0.795359299,"Rps24",20088,"H3K4me3_H3K27ac_RNA"
