"","fold_change","cluster","log_mean"
"10270",3.08846,"co_binding",1.62688764583611
"10271",2.88776,"co_binding",1.52995084568852
"10272",2.22058,"co_binding",1.15093654767261
"10273",2.48004,"co_binding",1.31036338969935
"10274",2.38331,"co_binding",1.25296661681362
"10275",2.85885,"co_binding",1.51543492569365
"10276",3.62889,"co_binding",1.85952832607608
"10277",2.03392,"co_binding",1.02426293491171
"1274",10.60753,"co_binding",3.40701685372247
"10281",9.06774,"co_binding",3.1807430251669
"1278",5.46075,"co_binding",2.44909910993136
"1279",2.60936,"co_binding",1.38369599911345
"1280",4.87627,"co_binding",2.28577801046935
"1281",2.54214,"co_binding",1.34604348421541
"10284",4.44116,"co_binding",2.15093654767261
"10285",2.7289,"co_binding",1.44831952830666
"10286",2.94703,"co_binding",1.55926174679749
"10287",3.06992,"co_binding",1.61820106044657
"10288",3.28315,"co_binding",1.71508066502285
"10289",2.97047,"co_binding",1.57069121823922
"10290",3.03115,"co_binding",1.59986524733885
"10291",2.46901,"co_binding",1.30393267970516
"10292",5.22988,"co_binding",2.38677784410299
"10293",2.92097,"co_binding",1.54644754095604
"1282",3.07465,"co_binding",1.62042219191428
"1283",2.61345,"co_binding",1.38595555821035
"1284",4.91402,"co_binding",2.29690372946282
"1285",3.07465,"co_binding",1.62042219191428
"1286",7.68661,"co_binding",2.94234747146374
"1287",4.34438,"co_binding",2.11915030022755
"10294",3.12681,"co_binding",1.64469155684345
"10295",2.81413,"co_binding",1.49268897605961
"10296",5.62825,"co_binding",2.49268641275173
"10297",4.22119,"co_binding",2.07764976790935
"10298",6.40995,"co_binding",2.68031310332867
"10299",2.83727,"co_binding",1.50450344674423
"1288",3.07167,"co_binding",1.61902323072817
"1289",3.53584,"co_binding",1.82205299293378
"10300",3.43582,"co_binding",1.7806544567588
"10301",2.9885,"co_binding",1.57942154276352
"1290",10.62209,"co_binding",3.40899575330605
"10302",9.09635,"co_binding",3.18528776583415
"10303",2.61029,"co_binding",1.38421009733928
"10304",3.12681,"co_binding",1.64469155684345
"10305",3.26836,"co_binding",1.70856690074496
"10306",2.65779,"co_binding",1.41022711743297
"1291",5.38063,"co_binding",2.4277751030168
"10307",4.80295,"co_binding",2.26392078981049
"1301",3.92877,"co_binding",1.9740777113008
"10316",2.86255,"co_binding",1.51730089290288
"1333",5.5882,"co_binding",2.48238365529368
"1334",3.2479,"co_binding",1.69950721388853
"1335",3.68957,"co_binding",1.88345268755506
"1336",2.64544,"co_binding",1.40350769701795
"10344",5.32166,"co_binding",2.41187633975076
"1380",6.51185,"co_binding",2.70306746760961
"10379",6.58246,"co_binding",2.71862684939295
"1408",4.7657,"co_binding",2.25268813698043
"1409",2.61345,"co_binding",1.38595555821035
"1410",6.14929,"co_binding",2.62041984579974
"1411",4.03202,"co_binding",2.01150279504548
"10400",5.94093,"co_binding",2.57068878984194
"10401",5.00289,"co_binding",2.32276173172315
"10402",4.15833,"co_binding",2.05600425325931
"1417",3.99704,"co_binding",1.99893201046486
"1418",2.76718,"co_binding",1.46841649167507
"1419",3.07465,"co_binding",1.62042219191428
"1420",2.28319,"co_binding",1.19105092117106
"1421",2.29471,"co_binding",1.19831184078602
"1422",5.37526,"co_binding",2.42633453919302
"1423",3.96941,"co_binding",1.98892458587452
"1424",6.61049,"co_binding",2.72475721490532
"1425",4.45766,"co_binding",2.15628658182421
"1426",6.45676,"co_binding",2.69081040260876
"1427",3.39193,"co_binding",1.76210639699577
"1428",3.71373,"co_binding",1.89286893056126
"1429",5.04986,"co_binding",2.33624339180394
"10407",3.70615,"co_binding",1.88992127312902
"10408",3.07569,"co_binding",1.62091010082886
"10409",7.66068,"co_binding",2.93747245861053
"10410",5.78459,"co_binding",2.53221470765971
"10411",3.43949,"co_binding",1.78219466114317
"10412",3.43634,"co_binding",1.78087278736306
"10413",4.26793,"co_binding",2.0935365141471
"1433",7.30804,"co_binding",2.86948453046837
"1434",4.7938,"co_binding",2.26116972020375
"1435",3.86641,"co_binding",1.95099463123865
"1436",2.44194,"co_binding",1.28802775283724
"10415",5.67454,"co_binding",2.50450344674423
"10416",2.81413,"co_binding",1.49268897605961
"1454",2.95068,"co_binding",1.56104746958533
"1455",2.3402,"co_binding",1.22663183180789
"10428",2.31687,"co_binding",1.21217709659075
"10429",5.00289,"co_binding",2.32276173172315
"1469",2.52001,"co_binding",1.33342945869415
"1470",6.11924,"co_binding",2.61335248358511
"10437",4.10104,"co_binding",2.03598981523797
"1473",2.22106,"co_binding",1.15124836656038
"1474",7.11755,"co_binding",2.83138072277593
"10439",5.19791,"co_binding",2.37793165426456
"1477",5.99556,"co_binding",2.58389451118602
"1478",3.07465,"co_binding",1.62042219191428
"1479",2.34352,"co_binding",1.22867710707539
"10441",3.28315,"co_binding",1.71508066502285
"10442",2.9888,"co_binding",1.57956636016021
"1480",4.92221,"co_binding",2.29930620990815
"1481",5.09341,"co_binding",2.34863185333582
"1482",3.07465,"co_binding",1.62042219191428
"10443",2.99793,"co_binding",1.58396669755133
"10444",2.65779,"co_binding",1.41022711743297
"10445",2.66202,"co_binding",1.41252141039046
"10446",3.12681,"co_binding",1.64469155684345
"10447",2.96991,"co_binding",1.57041921233209
"10448",3.2038,"co_binding",1.67978408906556
"10449",5.59257,"co_binding",2.48351140904404
"10450",2.34811,"co_binding",1.23149999479263
"1486",7.50192,"co_binding",2.90725987827282
"1487",2.47402,"co_binding",1.30685716312115
"1488",3.12198,"co_binding",1.64246129516552
"1489",3.28983,"co_binding",1.71801303548221
"1490",3.17799,"co_binding",1.66811458504732
"10454",8.11165,"co_binding",3.01999540454074
"1524",8.15426,"co_binding",3.02755395814244
"10469",6.58246,"co_binding",2.71862684939295
"1525",6.17403,"co_binding",2.62621249311599
"10470",7.81702,"co_binding",2.96661872894017
"1528",10.4538,"co_binding",3.38595555821035
"1529",4.8564,"co_binding",2.27988725484113
"1530",3.31968,"co_binding",1.73104417992663
"1531",5.08838,"co_binding",2.34720641504922
"1532",2.91484,"co_binding",1.54341669387457
"1533",3.03488,"co_binding",1.6016394730452
"1534",2.23845,"co_binding",1.16250009328829
"1535",3.53584,"co_binding",1.82205299293378
"1536",3.40822,"co_binding",1.76901846427999
"1537",2.8116,"co_binding",1.49139136003484
"1538",2.45125,"co_binding",1.29351763041742
"1539",3.2617,"co_binding",1.70562409400082
"1540",2.80404,"co_binding",1.48750692973014
"1541",4.62398,"co_binding",2.20913515779464
"1542",3.41297,"co_binding",1.77102773320577
"1543",2.05848,"co_binding",1.0415794316366
"1544",2.77278,"co_binding",1.47133315352125
"1545",5.97097,"co_binding",2.57796532018593
"1546",5.60286,"co_binding",2.48616344405318
"1547",2.85358,"co_binding",1.5127730094785
"1548",2.99366,"co_binding",1.58191037898897
"1549",2.68378,"co_binding",1.42426641299949
"1550",3.01127,"co_binding",1.59037207046624
"10473",2.39466,"co_binding",1.25982083294073
"10474",8.9114,"co_binding",3.15565210002931
"10475",2.67217,"co_binding",1.41801179312457
"10476",2.56157,"co_binding",1.35702831684537
"10477",3.3242,"co_binding",1.73300718425268
"10478",3.17005,"co_binding",1.66450559562751
"10479",3.09341,"co_binding",1.62919806063896
"10480",2.75954,"co_binding",1.46442779779031
"10481",3.3087,"co_binding",1.72626448834641
"10482",3.97477,"co_binding",1.99087138128766
"10483",3.08374,"co_binding",1.62468113213908
"10484",2.94663,"co_binding",1.55906591669624
"10485",3.08234,"co_binding",1.62402600827045
"1551",4.98564,"co_binding",2.31777871336181
"10486",4.23288,"co_binding",2.08163958956376
"1611",7.44411,"co_binding",2.8960993739465
"10531",2.96077,"co_binding",1.56597242271831
"1635",7.25443,"co_binding",2.85886226233075
"1636",4.97188,"co_binding",2.31379147629906
"1637",6.14929,"co_binding",2.62041984579974
"10551",5.74435,"co_binding",2.52214365443273
"10552",3.42494,"co_binding",1.77607871436202
"1647",5.08548,"co_binding",2.34638395125831
"1648",3.01127,"co_binding",1.59037207046624
"1649",5.5449,"co_binding",2.47116144220754
"10559",7.27708,"co_binding",2.86335967094678
"1651",5.11,"co_binding",2.3533232911629
"10571",3.28315,"co_binding",1.71508066502285
"10572",3.08846,"co_binding",1.62688764583611
"10573",3.43949,"co_binding",1.78219466114317
"10574",3.03975,"co_binding",1.60395267610591
"10575",3.12681,"co_binding",1.64469155684345
"10576",2.47567,"co_binding",1.30781902008821
"10577",2.81413,"co_binding",1.49268897605961
"10578",2.97047,"co_binding",1.57069121823922
"10579",2.65779,"co_binding",1.41022711743297
"10580",5.1374,"co_binding",2.36103840686572
"10581",2.81413,"co_binding",1.49268897605961
"1656",8.62319,"co_binding",3.10822166813384
"10586",7.05967,"co_binding",2.81960074716635
"1659",5.88567,"co_binding",2.55720665496774
"10589",5.88446,"co_binding",2.55691002935602
"1684",6.71535,"co_binding",2.74746259400944
"10602",5.10708,"co_binding",2.35249865836486
"1686",3.07465,"co_binding",1.62042219191428
"1687",3.9794,"co_binding",1.99255092265872
"10604",2.26981,"co_binding",1.18257153825185
"10605",3.43949,"co_binding",1.78219466114317
"10606",2.59896,"co_binding",1.37793442979098
"10607",3.03975,"co_binding",1.60395267610591
"1688",15.72774,"co_binding",3.97523947225002
"10608",42.36823,"co_binding",5.40491095397478
"1696",26.25091,"co_binding",4.71429553022733
"10611",25.91359,"co_binding",4.69563699139413
"1723",4.2734,"co_binding",2.09538436289022
"10627",4.54817,"co_binding",2.18528617981796
"1744",3.22838,"co_binding",1.69081040260876
"1745",3.34695,"co_binding",1.7428469988013
"1746",4.79415,"co_binding",2.26127504892669
"10642",3.8693,"co_binding",1.9520725901751
"1749",6.41469,"co_binding",2.6813795464889
"1750",5.24322,"co_binding",2.39045308109176
"10645",6.69595,"co_binding",2.7432887550356
"10646",3.76849,"co_binding",1.91398656436927
"1751",4.55232,"co_binding",2.18660197376635
"10647",4.48303,"co_binding",2.16447415379556
